formula,en,Tc,hf,mass,Ref.
CeBH8,2.076,100,0.8,18.7165,doi.org/10.1016/j.fmre.2022.11.010
CeBH8,2.076,80,0.8,18.7165,doi.org/10.1088/1361-648X/ac9bbc
CeBH8,2.076,118,0.8,18.7165,doi.org/10.1088/1361-648X/ac9bbc
CeBH8,2.076,123,0.8,18.7165,doi.org/10.1088/1361-648X/ac9bbc
CeBH8,2.076,109,0.8,18.7165,doi.org/10.1088/1361-648X/ac9bbc
CeBH8,2.076,115,0.8,18.7165,doi.org/10.1088/1361-648X/ac9bbc
CeCa3H24,2.0329,175,0.8571,10.762,doi.org/10.1016/j.physb.2023.415545
CeCa3H24,2.0329,201,0.8571,10.762,doi.org/10.1016/j.physb.2023.415545
CeCaH12,2.0371,150,0.8571,14.8973,doi.org/10.1016/j.physb.2023.415545
CeCaH12,2.0371,138,0.8571,14.8973,doi.org/10.1016/j.physb.2023.415545
CeCaH12,2.0371,125,0.8571,14.8973,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,90,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,86,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,84,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,81,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,80,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeCaH8,1.972,75,0.8,22.346,doi.org/10.1016/j.physb.2023.415545
CeLuH12,2.0564,158.8,0.8571,26.0489,doi.org/10.1016/j.mtphys.2023.101233
CeSiH7,2.0467,20.7,0.7778,23.8386,doi.org/10.1103/PhysRevB.110.024513
CeThH12,2.0586,85.9,0.8571,30.767,doi.org/10.1016/j.mtphys.2023.101233
CeThH12,2.0586,77.6,0.8571,30.767,doi.org/10.1016/j.mtphys.2023.101233
ClS7H24,2.4219,168,0.75,11.5828,doi.org/10.1103/PhysRevResearch.3.043102
ClS7H24,2.4219,145,0.75,11.5828,doi.org/10.1103/PhysRevResearch.3.043102
CS2H10,2.2854,95,0.7692,7.5527,doi.org/10.1039/D1CP03270D
CS2H10,2.2854,95,0.7692,7.5527,doi.org/10.1039/D1CP03270D
CS2H10,2.2854,30,0.7692,7.5527,doi.org/10.1039/D1CP03270D
CS2H10,2.2854,155,0.7692,7.5527,doi.org/10.1039/D1CP03270D
CS2H10,2.2854,50,0.7692,7.5527,doi.org/10.1039/D1CP03270D
CS2H10,2.2854,74,0.7692,7.5527,doi.org/10.1063/5.0158303
CS2H10,2.2854,72,0.7692,7.5527,doi.org/10.1063/5.0158303
CS2H10,2.2854,76,0.7692,7.5527,doi.org/10.1063/5.0158303
CS2H11,2.2793,92,0.7857,6.8661,doi.org/10.1063/5.0158303
CS2H11,2.2793,70,0.7857,6.8661,doi.org/10.1063/5.0158303
CS2H11,2.2793,86,0.7857,6.8661,doi.org/10.1063/5.0158303
CS2H11,2.2793,71,0.7857,6.8661,doi.org/10.1063/5.0158303
CS3H13,2.2841,128,0.7647,5.1964,doi.org/10.1038/s41524-022-00769-9
CS3H13,2.2841,96,0.7647,5.1964,doi.org/10.1038/s41524-022-00769-9
CS7H24,2.2884,169,0.75,4.8006,doi.org/10.1103/PhysRevResearch.3.043102
CS7H25,2.2858,104,0.7576,4.6086,doi.org/10.1038/s41524-022-00769-9
CsB2H8,2.0427,65,0.7273,19.1629,doi.org/10.1103/PhysRevB.105.224107
CsB2H8,2.0427,149.4,0.7273,19.1629,doi.org/10.1016/j.mtphys.2024.101443
CsB2H8,2.0427,110,0.7273,19.1629,doi.org/10.1103/PhysRevB.105.224107
CsB2H8,2.0427,107,0.7273,19.1629,doi.org/10.1016/j.mtphys.2024.101443
CsB2H8,2.0427,65,0.7273,19.1629,doi.org/10.1103/PhysRevB.105.224107
CsB2H8,2.0427,110.1,0.7273,19.1629,doi.org/10.1016/j.mtphys.2024.101443
CsB2H8,2.0427,60,0.7273,19.1629,doi.org/10.1103/PhysRevB.105.224107
CsB2H8,2.0427,133.8,0.7273,19.1629,doi.org/10.1016/j.mtphys.2024.101443
CsB2H8,2.0427,108.3,0.7273,19.1629,doi.org/10.1016/j.mtphys.2024.101443
CsBH5,1.9757,83,0.7143,28.5159,doi.org/10.1103/PhysRevB.107.L180501
CsC2H8,2.1355,4.29,0.7273,19.4608,doi.org/10.1088/1674-1056/ad7c31
CsC2H8,2.1355,4.2,0.7273,19.4608,doi.org/10.1016/j.mtphys.2024.101443
CsC2H8,2.1355,7,0.7273,19.4608,doi.org/10.1016/j.mtphys.2024.101443
CsC2H8,2.1355,0,0.7273,19.4608,doi.org/10.1016/j.mtphys.2024.101443
CSeH6,2.2875,80.6,0.75,15.0433,doi.org/10.1103/PhysRevB.109.174507
CSH3,2.346,36,0.6,14.5734,doi.org/10.1103/PhysRevB.105.094108
CSH3,2.346,4,0.6,14.5734,doi.org/10.1103/PhysRevB.105.094108
CSH3,2.346,98,0.6,14.5734,doi.org/10.1103/PhysRevB.105.094108
CSH3,2.346,63,0.6,14.5734,doi.org/10.1103/PhysRevB.105.094108
CSH7,2.2811,108,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.134504
CSH7,2.2811,181,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.174102
CSH7,2.2811,173,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.174102
CSH7,2.2811,194,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.134504
CSH7,2.2811,170,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.134504
CSH7,2.2811,158,0.7778,6.2457,doi.org/10.1103/PhysRevB.101.134504
CSH7,2.2811,147,0.7778,6.2459,doi.org/10.1038/s41524-022-00769-9
CSH7,2.2811,130,0.7778,6.2459,doi.org/10.1063/5.0158303
CSH7,2.2811,120,0.7778,6.2459,doi.org/10.1063/5.0158303
CsInH3,1.834,153,0.6,81.9213,doi.org/10.1002/advs.202408370
CsInH3,1.834,102,0.6,81.9213,doi.org/10.1002/advs.202408370
CsInH3,1.834,69,0.6,81.9213,doi.org/10.1002/advs.202408370
CsSH3,1.994,16.9,0.6,54.5536,doi.org/10.1016/j.cjph.2024.02.025
CsSH3,1.994,9.7,0.6,54.5536,doi.org/10.1016/j.cjph.2024.02.025
CsTlH3,1.802,163,0.6,111.5377,doi.org/10.1002/advs.202408370
CsTlH3,1.802,128,0.6,111.5377,doi.org/10.1002/advs.202408370
CsTlH3,1.802,110,0.6,111.5377,doi.org/10.1002/advs.202408370
CuN2H8,2.3255,77,0.7273,11.3542,doi.org/10.1063/5.0127365
CuN2H8,2.3255,36,0.7273,11.3542,doi.org/10.1063/5.0127365
Fe2SeH,2.1025,1.1,0.25,189.1478,doi.org/10.1021/acs.jpcc.9b06504
Fe2SeH,2.1025,3.8,0.25,189.1478,doi.org/10.1021/acs.jpcc.9b06504
Fe2SeH2,2.122,8.6,0.4,94.5739,doi.org/10.1021/acs.jpcc.9b06504
Fe2SeH2,2.122,9.1,0.4,94.5739,doi.org/10.1021/acs.jpcc.9b06504
Fe2SH3,2.14,0.3,0.5,47.5364,doi.org/10.1021/acs.inorgchem.6b01949
FeSeH,2.1933,0.2,0.3333,133.746,doi.org/10.1021/acs.jpcc.9b06504
FeSeH6,2.1975,34.4,0.75,22.291,doi.org/10.1021/acs.jpcc.9b06504
FeSeH6,2.1975,36.4,0.75,22.291,doi.org/10.1021/acs.jpcc.9b06504
FS7H24,2.6013,120,0.75,6.8223,doi.org/10.1103/PhysRevResearch.3.043102
Ga2MnH6,2.0411,43,0.6667,32.1402,doi.org/10.1016/j.mtphys.2024.101374
Ga2OsH6,2.1133,20.9,0.6667,54.5099,doi.org/10.1002/adfm.202404043
Ga2RuH6,2.1133,26.9,0.6667,39.7679,doi.org/10.1002/adfm.202404043
Ga2RuH6,2.1133,16,0.6667,39.7679,doi.org/10.1016/j.mtphys.2024.101374
GaC2H8,2.2282,35.8,0.7273,11.6251,doi.org/10.1038/s41524-024-01490-5
GaC2H8,2.2282,50,0.7273,11.6251,doi.org/10.1103/PhysRevB.105.104511
GaC2H8,2.2282,46.1,0.7273,11.6251,doi.org/10.1038/s41524-024-01490-5
GaC2H8,2.2282,43.1,0.7273,11.6251,doi.org/10.1038/s41524-024-01490-5
GaHfH6,2.0388,49,0.75,41.0405,doi.org/10.1063/5.0159590
GaScH6,2.0463,88,0.75,18.9615,doi.org/10.1063/5.0159590
GaTiH6,2.0688,39,0.75,19.4428,doi.org/10.1063/5.0159590
GaZrH6,2.0425,70,0.75,26.6116,doi.org/10.1063/5.0159590
GeAsH6,2.1738,107,0.75,24.3968,doi.org/10.1103/PhysRevB.100.174506
GeAsH6,2.1738,105,0.75,24.3968,doi.org/10.1103/PhysRevB.100.174506
GeAsH6,2.1738,76,0.75,24.3968,doi.org/10.1103/PhysRevB.100.174506
H6SSe,2.2913,196,0.75,18.3581,doi.org/10.1103/PhysRevB.98.174101
H6SSe,2.2913,181,0.75,18.3581,doi.org/10.1103/PhysRevB.98.174101
H6SSe,2.2913,115,0.75,18.3581,doi.org/10.1103/PhysRevB.98.174101
HBS,2.2733,0.8,0.3333,42.5298,doi.org/10.1103/PhysRevB.100.134110
HBS,2.2733,1.9,0.3333,42.5298,doi.org/10.1103/PhysRevB.100.134110
Hf3AlH,1.542,2,0.2,557.9881,doi.org/10.1103/PhysRevLett.132.166001
